timestemp, imsi, cellID, x, y, label_x, label_y, accuracy (1-MSE)
1732181323981.0,1,5,47.962433,34.00618,55.0,26.0,10.659562208622463
1732181324022.0,2,3,302.22372,299.32574,320.0,324.0,30.410768147745586
1732181324081.0,1,5,68.533066,23.307121,55.0,26.0,13.798386764217108
1732181324122.0,2,3,378.9543,41.028717,320.0,324.0,289.04733068305615
1732181324181.0,1,5,46.582844,41.437378,55.0,26.0,17.58297936443304
1732181324222.0,2,3,332.1552,74.04086,320.0,324.0,250.2545110732272
1732181324281.0,1,5,70.95705,3.6803513,55.0,26.0,27.43709291056202
1732181324322.0,2,3,332.96576,128.19765,320.0,324.0,196.23116947875533
1732181324381.0,1,5,53.38855,30.840385,55.0,26.0,5.101578389679026
1732181324422.0,2,3,400.35794,34.232666,320.0,324.0,300.7033551733336
1732181324481.0,1,5,47.902485,44.898018,55.0,26.0,20.18687187611241
1732181324522.0,2,3,372.21347,51.365307,320.0,324.0,277.5894985180455
1732181324581.0,1,5,67.30935,15.742794,55.0,26.0,16.02280707865159
1732181324622.0,2,3,339.22513,104.0358,320.0,324.0,220.80275240302146
1732181324681.0,1,5,72.06525,2.5407257,55.0,26.0,29.009656679527637
1732181324722.0,2,3,352.45032,84.29763,320.0,324.0,241.88891271356363
1732181324781.0,1,5,81.32901,11.191082,55.0,26.0,30.20796044130483
1732181324822.0,2,3,312.13974,94.64548,320.0,324.0,229.48917458128608
1732181324881.0,1,5,56.773773,98.89366,55.0,26.0,72.9152406854613
1732181324922.0,2,3,400.50174,28.863577,320.0,324.0,305.9183408198992
1732181324981.0,1,5,33.421448,22.119328,55.0,26.0,21.924724456203975
1732181325022.0,2,3,333.2406,102.709984,320.0,324.0,221.68577318188463
1732181325081.0,1,5,53.978424,42.830788,55.0,26.0,16.861762385993902
1732181325122.0,2,3,350.27283,162.93701,320.0,324.0,163.88328306679117
1732181325181.0,1,5,28.472618,8.658905,55.0,26.0,31.692515320557156
1732181325222.0,2,3,390.76956,48.90792,320.0,324.0,284.04925024104534
